ts_code,trade_date,open,close,low,high
300782.SZ,20221220,112.52,117.36,112.52,117.6
300782.SZ,20221219,115.0,113.25,112.55,117.01
300782.SZ,20221216,116.99,116.15,115.02,118.6
300782.SZ,20221215,117.36,117.96,117.0,121.64
300782.SZ,20221214,121.34,117.64,117.38,122.28
300782.SZ,20221213,116.03,116.84,114.64,118.4
300782.SZ,20221212,112.15,117.18,112.1,120.19
300782.SZ,20221209,112.98,112.59,110.88,114.33
300782.SZ,20221208,112.09,111.7,110.84,114.86
300782.SZ,20221207,116.49,113.24,112.77,116.8
300782.SZ,20221206,115.69,117.64,114.54,120.5
300782.SZ,20221205,118.0,115.73,113.84,120.3
300782.SZ,20221202,117.58,118.0,117.0,121.48
300782.SZ,20221201,117.49,119.0,116.6,121.68
300782.SZ,20221130,117.0,115.11,114.14,118.35
300782.SZ,20221129,114.0,117.69,112.35,118.78
300782.SZ,20221128,110.11,114.18,109.18,114.6
300782.SZ,20221125,113.33,112.78,111.39,115.99
300782.SZ,20221124,115.0,112.14,111.3,117.15
300782.SZ,20221123,117.01,115.4,113.44,119.2
300782.SZ,20221122,117.3,117.35,116.7,121.2
300782.SZ,20221121,120.08,118.7,115.68,121.23
300782.SZ,20221118,123.3,121.99,121.0,127.49
300782.SZ,20221117,117.86,126.5,116.06,129.5
300782.SZ,20221116,117.0,120.79,115.28,121.26
300782.SZ,20221115,103.2,119.13,102.11,123.0
300782.SZ,20221114,103.0,103.2,101.56,107.52
300782.SZ,20221111,106.1,102.57,102.23,109.48
300782.SZ,20221110,102.4,99.78,99.58,104.49
300782.SZ,20221109,102.0,103.35,101.1,107.0
300782.SZ,20221108,104.0,102.3,101.56,105.86
300782.SZ,20221107,103.31,103.76,101.94,106.6
300782.SZ,20221104,101.0,103.35,100.01,104.53
300782.SZ,20221103,92.3,102.62,92.0,103.28
300782.SZ,20221102,93.0,93.63,92.49,96.2
300782.SZ,20221101,91.12,93.5,90.56,93.55
300782.SZ,20221031,85.71,92.36,85.7,93.29
300782.SZ,20221028,84.3,86.8,84.0,92.69
300782.SZ,20221027,86.97,86.55,85.6,89.18
300782.SZ,20221026,83.05,87.01,82.34,88.28
300782.SZ,20221025,84.0,82.92,82.32,85.5
300782.SZ,20221024,87.18,84.85,84.06,89.55
300782.SZ,20221021,88.01,87.18,86.7,88.98
300782.SZ,20221020,84.61,89.15,83.7,90.85
300782.SZ,20221019,85.49,84.61,84.61,86.49
300782.SZ,20221018,88.0,86.15,85.6,88.33
300782.SZ,20221017,85.0,87.48,84.88,88.2
300782.SZ,20221014,83.25,86.3,82.51,87.18
300782.SZ,20221013,83.33,82.1,82.1,84.47
300782.SZ,20221012,78.81,84.02,78.25,84.25
300782.SZ,20221011,81.0,79.4,79.0,81.79
300782.SZ,20221010,88.3,81.12,81.01,88.3
300782.SZ,20220930,91.09,88.41,88.29,92.0
300782.SZ,20220929,95.94,91.68,91.51,96.25
300782.SZ,20220928,96.04,94.71,94.33,96.94
300782.SZ,20220927,92.15,96.65,92.15,96.87
300782.SZ,20220926,92.0,92.12,91.71,94.6
300782.SZ,20220923,91.4,93.96,90.55,95.66
300782.SZ,20220922,91.5,91.64,91.0,93.88
300782.SZ,20220921,94.49,92.4,91.68,94.55
300782.SZ,20220920,99.88,96.3,95.4,100.44
300782.SZ,20220919,103.2,99.65,97.6,103.8
300782.SZ,20220916,103.0,102.2,100.4,104.5
300782.SZ,20220915,99.5,103.95,98.7,104.87
300782.SZ,20220914,94.74,100.65,94.36,100.66
300782.SZ,20220913,94.5,95.1,94.5,97.58
300782.SZ,20220909,95.46,95.01,93.5,96.3
300782.SZ,20220908,99.2,95.4,95.38,99.44
300782.SZ,20220907,97.69,98.97,97.15,100.66
300782.SZ,20220906,99.2,97.86,96.73,99.68
300782.SZ,20220905,101.0,98.6,98.02,101.58
300782.SZ,20220902,98.0,102.05,97.78,103.38
300782.SZ,20220901,101.66,98.65,98.46,102.68
300782.SZ,20220831,95.5,101.74,95.4,103.0
300782.SZ,20220830,91.66,96.7,91.33,97.4
300782.SZ,20220829,90.8,92.28,90.06,93.39
300782.SZ,20220826,95.74,92.96,92.78,96.05
300782.SZ,20220825,94.13,95.34,92.68,95.42
300782.SZ,20220824,98.12,94.15,94.0,98.5
300782.SZ,20220823,99.01,98.12,97.86,100.2
300782.SZ,20220822,100.26,99.9,97.4,101.74
300782.SZ,20220819,103.0,100.25,100.16,106.74
300782.SZ,20220818,101.62,102.88,99.76,104.18
300782.SZ,20220817,97.28,102.4,96.03,102.97
300782.SZ,20220816,97.9,97.5,97.01,99.46
300782.SZ,20220815,101.0,98.0,97.44,101.01
300782.SZ,20220812,105.5,104.13,104.1,106.19
300782.SZ,20220811,103.5,106.66,103.05,107.19
300782.SZ,20220810,104.0,102.75,102.6,107.62
300782.SZ,20220809,104.1,104.73,101.7,104.74
300782.SZ,20220808,107.84,104.5,103.17,107.98
300782.SZ,20220805,100.4,107.0,99.55,107.7
300782.SZ,20220804,97.0,100.45,96.25,100.48
300782.SZ,20220803,94.42,97.12,93.52,99.7
300782.SZ,20220802,95.0,93.89,92.61,97.0
300782.SZ,20220801,95.9,96.79,93.15,98.09
300782.SZ,20220729,100.66,96.15,96.08,101.5
300782.SZ,20220728,101.16,100.58,100.0,103.3
300782.SZ,20220727,100.0,100.23,99.01,100.7
300782.SZ,20220726,101.18,100.49,99.45,102.5
300782.SZ,20220725,102.6,101.53,101.01,104.2
300782.SZ,20220722,106.56,103.48,102.91,107.3
300782.SZ,20220721,105.58,106.98,104.07,109.58
300782.SZ,20220720,104.62,104.58,104.13,106.38
300782.SZ,20220719,104.0,103.88,102.7,105.51
300782.SZ,20220718,103.3,104.68,101.5,106.24
300782.SZ,20220715,103.64,103.8,103.01,107.49
300782.SZ,20220714,106.85,105.42,105.23,107.99
300782.SZ,20220713,116.0,108.81,104.01,116.0
300782.SZ,20220712,122.8,119.19,119.19,123.82
300782.SZ,20220711,128.68,123.95,121.88,128.68
300782.SZ,20220708,131.98,130.2,130.09,134.99
300782.SZ,20220707,134.25,131.41,128.68,134.25
300782.SZ,20220706,130.05,134.2,130.04,137.9
300782.SZ,20220705,133.0,131.05,128.76,136.5
300782.SZ,20220704,137.0,133.55,131.37,137.0
300782.SZ,20220701,135.5,140.76,135.5,145.15
300782.SZ,20220630,131.0,135.0,130.01,135.93
