ts_code,trade_date,open,close,low,high
600845.SH,20221220,40.05,39.35,39.2,40.29
600845.SH,20221219,40.6,40.08,39.68,40.9
600845.SH,20221216,40.55,40.56,40.11,40.79
600845.SH,20221215,40.76,40.55,40.47,41.04
600845.SH,20221214,40.6,40.8,40.45,41.12
600845.SH,20221213,41.46,40.75,40.71,41.77
600845.SH,20221212,41.04,41.58,40.6,41.7
600845.SH,20221209,40.75,40.77,40.48,41.06
600845.SH,20221208,41.19,40.99,40.42,41.3
600845.SH,20221207,40.91,41.21,40.7,41.49
600845.SH,20221206,41.0,40.9,40.41,41.5
600845.SH,20221205,41.0,40.66,40.49,41.66
600845.SH,20221202,40.73,40.66,40.58,41.28
600845.SH,20221201,39.58,40.93,39.41,40.98
600845.SH,20221130,39.48,39.38,38.66,39.59
600845.SH,20221129,40.54,39.33,38.81,40.68
600845.SH,20221128,39.79,40.43,39.61,40.98
600845.SH,20221125,41.13,40.55,40.4,41.34
600845.SH,20221124,41.94,41.14,41.08,42.28
600845.SH,20221123,42.06,41.82,41.51,43.17
600845.SH,20221122,42.66,41.93,41.73,42.8
600845.SH,20221121,42.08,42.81,41.31,43.29
600845.SH,20221118,42.78,42.05,41.9,44.25
600845.SH,20221117,41.42,42.55,41.0,42.78
600845.SH,20221116,42.5,41.4,41.3,42.99
600845.SH,20221115,41.64,42.45,41.27,43.17
600845.SH,20221114,40.98,41.56,40.83,41.87
600845.SH,20221111,42.13,40.93,40.91,42.65
600845.SH,20221110,41.21,41.5,41.11,42.55
600845.SH,20221109,41.5,41.57,40.88,42.14
600845.SH,20221108,42.1,41.9,41.2,42.24
600845.SH,20221107,41.9,41.98,41.5,42.36
600845.SH,20221104,42.0,42.04,41.5,42.58
600845.SH,20221103,42.17,42.02,41.43,42.6
600845.SH,20221102,42.42,42.45,42.1,42.74
600845.SH,20221101,42.1,42.65,41.94,42.96
600845.SH,20221031,41.29,42.32,41.16,42.76
600845.SH,20221028,41.0,41.43,40.81,42.5
600845.SH,20221027,39.9,41.16,39.55,42.0
600845.SH,20221026,38.72,40.05,38.56,41.01
600845.SH,20221025,38.99,38.85,38.4,40.18
600845.SH,20221024,38.83,39.04,38.26,39.85
600845.SH,20221021,38.63,38.83,38.0,39.18
